Title,Abstract,Citations
"A Pilot, Placebo-controlled Trial of Closed-loop Acoustic Stimulation Neurotechnology for Insomnia (4298)","Objective: Evaluate use of Cereset Research-Standard Operating Procedures® (CR-SOP), a noninvasive, closed-loop, acoustic neuromodulation technology, for insomnia. Background: …",0
"Transpersonal Psychology: Altered States of Consciousness, Biofeedback and Neurotechnology",Transpersonal psychology is the study of human nature and development that assumes that human beings possess potentials that exceed the limits of ego developed normally. The …,0
Accounting Perspectives in a University Context: Applications of Neurotechnology,… simulated model of financial analysis through neurotechnology. The methodology consisted of … This study shows an opportunity to implement neurotechnology techniques as a teaching …,0
Habeas mentem and Neurotechnology: A Brief Introduction to the Ethical Problem of Neurorights Protection,… Neurotechnology advances at ever-increasing speed. We urgently need an independent ethics committee to control both the neurotechnology production and its affordance for mind …,0
NEUROTECHNOLOGY AND ITS ETHICAL IMPLICATIONS FOR TEACHING AND RESEARCH IN DIVERSE EDUCATIONAL ENVIRONMENTS,… This advance in research using neurotechnology is accelerating its incorporation into … any educational project that incorporates the use of neurotechnology. This paper aims to relate the …,0
Neurotechnology: the need for neuroethicists,… In this paper I will argue that the ethical discussion of neurotechnology is crucial as it … neurotechnology. In this paper my aim is to expand the common understanding of neurotechnology …,0
Freedom of thinking and neurotechnology: ensuring free thought in the age of brain-computer interfaces,Our world is turning into a real-life depiction of what for a long time only existed in science fiction books. Smartphones allow us to access vast amounts of information from any serviced …,0
"Policy, Identity, and Neurotechnology The Neuroethics of Brain-Computer Interfaces",In this volume the authors explore the landscape of thought on the ethical and policy implications of Brain Computer Interface (BCI) technology. BCI technology is a promising and …,0
"NEUROSCIENCE, NEUROTECHNOLOGY & SPORT: AN ETHICAL-EDUCATIONAL PATH BETWEEN UTOPIA AND DYSTOPIA","In the field of NBIC Nanotechnology, Biotechnology, Infotechnology and Cognitive science, Neurosciences occupy vast areas of research. Technological developments in neuroscience …",0
Organic electrochemical transistors for neurotechnology,… This thesis opens with the motivations to develop neurotechnology in society by considering … transistors and their applications in neurotechnology is then examined. Foundational to this …,0
Resizing freedom of thought or new (neuro) human rights? Challenges and perspectives from neurotechnology,¿Redimensionamiento de la libertad de pensamiento o nuevos (neuro)derechos humanos? Desafíos y perspectivas desde la neurote Page 1 Revista Mexicana de Derecho …,0
Analysis and design of closed-loop fractional-order systems and its applications to neurotechnology,Recent rapid developments in the field of neurotechnology and neurostimulation techniques have enabled millions of people all over the world to lead increasingly normal lives in spite …,0
Semantic processing for neurotechnology: Exploiting the N400 for Brain Computer Interfacing,"C devices have become an increasing part of our lives. We control these tools through the use of keyboards and mice, through touchscreens, and sometimes even by voice. These input …",0
The effective neural drive to muscles is the common synaptic input to motor neurons,"Key points Despite the non‐linear property of individual motor neurons, the pool of motor neurons linearizes the relation between their common synaptic input and the neural drive to the …",165
Hybrid tele-manipulation system using a sensorized 3-D-printed soft robotic gripper and a soft fabric-based haptic glove,"This paper presents a hybrid tele-manipulation system, comprising of a sensorized 3-D-printed soft robotic gripper and a soft fabric-based haptic glove that aim at improving grasping …",94
Corticotropin‐releasing factor infusion into nucleus incertus suppresses medial prefrontal cortical activity and hippocampo‐medial prefrontal cortical long‐term …,"The medial prefrontal cortex ( mPFC ) in the rat has been implicated in a variety of cognitive processes, including working memory and expression of fear memory. We investigated the …",34
Neurotechnology,"… The second major application of neurotechnology is … that need to be addressed in this area of neurotechnology. … technology, research into neurotechnology has grown relatively rapidly …",26
Interactive Neurotechnology Platform: A Real-time Window on Human Information Processing at the Millisecond Level,The ability to track salient targets is common to contemporary work environments ranging from airport security to imagery analysis. A neurotechnology platform was implemented for real-…,1
An internet-based quantum biofeedback and neurotechnology cybertherapy system for the support of transpersonal psychology,Transpersonal psychology is the study of human nature and proceeds on the assumption that human beings possess potentials that exceed the limits of their ego and integrate the …,1
Military Personnel with Traumatic Stress Demonstrate Improved Autonomic Cardiovascular Regulation After Use of a Closed Loop Neurotechnology (P5. 122),"Objective: Evaluate changes in autonomic cardiovascular regulation (ACR) associated with use of High-resolution, relational, resonance-based, electroencephalic mirroring (HIRREM®…",1
Neurotechnology in the development of cyber-psychotherapy systems for inducing and measuring altered states of consciousness in transpersonal psychotherapy,"… Neurotechnology, this review begins with an introduction to the technologies that made possible the modern Neurotechnology … and applications of Neurotechnology for inducing altered …",1
"A Noninvasive Neurotechnology, HIRREM, Is Associated With Symptom Reduction And Improved Cardiovascular Autonomic Measures In Adolescents With POTS (P7 …","OBJECTIVE: Assess effect of High-resolution, relational, resonance-based, electroencephalic mirroring (HIRREM) on self-reported autonomic symptoms and cardiovascular measures …",1
"Abstract P484: improved heart rate variability, and symptoms of insomnia and stress, with use of a closed-loop, allostatic neurotechnology in law enforcement officers","Background: Law enforcement officers have decreased life expectancy, attributed to work-related exposure to traumatic stress and circadian disruption. Autonomic dysregulation is …",1
Resource Trade-Offs in Circuits and Systems: from Neurotechnology to Communications,This thesis aims to explore and exploit trade-offs in integrated circuits and systems to overcome the fundamental bottlenecks faced by future data acquisition and communication systems…,0
Ethical quandaries of direct-to-consumer neurotechnology,"… ) neurotechnology … neurotechnology provokes more fundamental questions regarding what may be thought of as the ""responsibilization"" of the user/patient. While DTC neurotechnology …",0
Neurotechnology: where we are and where we are going?,"… are just few examples of the advances of neurotechnology. Very recently last summer, Tesla … Leaving aside ethical issues, should we worry if modern neurotechnology can figure out …",0
Advances in Neurotechnology,,0
Neurotechnology and the Future of Art,"Mind-machine interfaces, the decoding of the brain’s workings, and other unforeseen advances in neurotechnology will usher in a creative explosion unparalleled in all history. It has …",0
"Neurotechnology for Investigation of Non-verbal Communication between Russians and Chinese, Native Speakers of Different Languages","The purpose of our research is to study the main mechanisms of non-verbal communication between representatives of historically different cultures, speakers of different languages …",0
Guiding responsible neurotechnology innovation,… around the use and development of neurotechnology for different domains of application. In … themes we have identified for different neurotechnology domains of application. The second …,0
Neurotechnology and the Self,"In this talk, Dr. James Giordano of Georgetown University discusses the ethics of neurotechnology: advances in medical technology that enable us to manipulate the brain in ways that …",0
Ethical Challenges Posed by Neurotechnology in Treating Disability,"As the applications of neurotechnology like DBS are increasingly accepted by the public, many people are concerned about the risk of such treatment. This paper is focused on the …",0
Mental privacy in the age of neurotechnology,"Recently, it has been argued that the current international human rights framework is inadequate to address the risks posed by neurotechnology. Within this debate, it is suggested that …",0
Tracking motor units longitudinally across experimental sessions with high‐density surface electromyography,"Key points Classic motor unit (MU) recording and analysis methods do not allow the same MUs to be tracked across different experimental sessions, and therefore, there is limited …",136
Cortical control of a tablet computer by people with paralysis,"General-purpose computers have become ubiquitous and important for everyday life, but they are difficult for people with paralysis to use. Specialized software and personalized input …",115
Accurate and representative decoding of the neural drive to muscles in humans with multi‐channel intramuscular thin‐film electrodes,"Key points Intramuscular electrodes developed over the past 80 years can record the concurrent activity of only a few motor units active during a muscle contraction. We designed, …",84
Discovering Neurotechnology with Tom Budzynski,This article summarizes projects and experiences the author shared with Thomas Budzynski over two decades of friendship and collaboration. Examples include a variety of sound and …,0
The use of neurotechnology in marketing,"In the current conditions of digitalization of the economy in marketing research, there is a steady interest in studying technologies aimed at promoting the brand, goods and services that …",0
Neurotechnology: new frontiers for European policy,"Through current advancements in neurotechnology, new domains of political influence, economic wealth, social welfare, military power and cultural transformation are developing. The ‘…",0
"Neurotechnology, Evidence, and Ethics","… Recently, a reader wrote to comment on my essays regarding neurotechnology in light of … comment takes note of an increasing presence of neurotechnology in pain care, if not medicine …",0
Policy Memorandum to John P. Holdren: Expanding Our Neurotechnology Initiative,… For neurotechnology to become as prevalent as computing … We need to expand funding for existing neuro-technology … will require a national neurotechnology initiative that is well funded…,0
Machine learning for neurotechnology,"Brain Computer Interfacing (BCI)–a modern instantiation of Neurotechnology–aims at making use of brain signals for eg the control of objects, spelling, gaming and so on. This talk will …",0
PhD course in Neuroscience and Neurotechnology,"The development of novel approaches to stimulate neuronal circuits is crucial to understand the physiology of neuronal networks, and to provide new strategies to treat neurological …",0
"A distinct right to freedom of thought in South America: the Jurisprudence of the Inter-American Court of Human Rights, Neurotechnology and the application of …","The right to freedom of thought is guaranteed by Article 13 of the American Convention on Human Rights, yet current jurisprudence interprets the right as a mere dimension of freedom …",0
High-Throughput Neurotechnology,,0
NEUROTECHNOLOGY: REDESIGNING THE BRAIN-COMPUTER INTERFACE TECHNOLOGY FOR CRIMINAL PROCEDURE PURPOSES.,"… According to Alex Cumming27 and Amanda Pustilnik,28 introducing neurotechnology … of neurotechnology, particularly for the court. In Cumming’s review, he looked at neurotechnology …",0
"Stimulating Shakespeare's Deep Brain: Neurotechnology, Experimental Theater, and the Lab","At the center of this research and directly in my microscopical field of vision was the tiny nematode Caenorhabditis elegans. In the lab, this meant peering into a microscope and …",0
Neurotechnology For Human Benefit and the Impact of AI,"Neuroprosthetics is an emerging field that is beginning to provide a technological approach to restore lost sensory functions, restore movement for those with paralysis, or repair …",0
"Responsible innovation in neurotechnology, practical examples from translational projects",Progress in neurotechnology is advancing rapidly driven by unmet needs for therapies to … Here we describe two research projects breaking new ground in neurotechnology and …,0
"Paradigms: the Role of Nano and Neurotechnology‖ October, 2011",Human enhancement has been a much debated topic in the last decade. Different values and visions underlying our understanding of human enhancement (HE) can have a significant …,0
Advances in Neurotechnology Poised to Impact Life and Health Insurance,"Neurotechnology is defined as “the application of engineering principles to the understanding, engagement, and repair of the human nervous system.” In this research article, RGA's …",0
Neurotechnology for Special Needs Children,This paper highlights the use of neurotechnology to improve the brain dysregulation of special needs children giving an example of a case study on autistic children. Neurofeedback …,0
Systems Neuroscience & Neurotechnology Unit,"• The input/output training data are fundamental in ANN technology, because they convey the necessary information to"" discover"" the optimal operating point.• The nonlinear nature of …",0
Estimating reflex responses in large populations of motor units by decomposition of the high‐density surface electromyogram,Key points Reflex responses of single motor units have been used for the study of spinal circuitries but the methods employed are invasive and limited to the assessment of a relatively …,52
DARPA launches $70 million neurotechnology initiative,"Visits to emergency departments for concussions and other non-fatal, sports-and recreation-related traumatic brain injury (TBI) among players ages 19 and under jumped from 150,000 …",1
Model-Based EEG Analysis: Proposal and Verification of Mathematical Model for Application to Neurotechnology,We have modeled dynamics of EEG with one degree of freedom nonlinear oscillator and examined the relationship between mental state of humans and model parameters simulating …,0
Toward Sentient Neurotechnology,Achieving an understanding of how qualities of experience arise in concert with the operation of neural networks could produce a revolutionary advance in neurotechnology. The work …,0
Recomposing Beethoven with Music Neurotechnology,Musicians have an extraordinary opportunity today to develop new approaches to composition that would have been unthinkable a few years ago. Imagine if you could play a musical …,0
Discerning Science Fact from Science Fiction: Effects of Science Fiction Media Consumption on Undergraduate Perceptions of Neurotechnology,… Neurotechnology is depicted both accurately and … self-perceived knowledge of neurotechnology. This effect appears … beliefs about the accuracy of neurotechnology portrayals in …,0
Wearable Neurotechnology for Inferring the Driver's Attention for Assistive Driving,"The work builds on the authors' prior works, on instrumenting electrocephalography (EEG) systems that are accessible and quick and comfortable to apply. Supported by Mobility21, the …",0
Neurotechnology for Imagery Analysis,This research combined image alignment techniques with techniques for processing neurophysiological signals to find consistent classifiers of changed and unchanged aerial …,0
Neurotechnology: design of a semi-dry electroencephalography electrode,"In the research of the brain, the most complex organ of the human body, its function can be studied through the analysis of Evoked Potentials (EP). This evoked activity can be …",0
LLNLs Neurotechnology Portfolio Presentation to Society for Brain Mapping and Therapeutics (SBMT),"Lawrence Livermore National Laboratory has a long history in Bioengineering. They developed the first-ever bionic eye, as one example given. LLNL works in the Electroceuticals area. …",0
Logbook-NeuroTechnology,The electroencephalogram (EEG) is a recording of the electrical activity of the brain. Hans Berger made the first recording in 1929 although similar studies has been carried out in …,0
Blink-related oscillations: Neurotechnology advances that open a new window into brain function,"Although spontaneous blinking has traditionally not been considered to have much importance in cognition, increasing behavioural evidence suggests that blinking is modulated by …",0
Logbook-NeuroTechnology,The electroencephalogram (EEG) is a recording of the electrical activity of the brain. Hans Berger made the first recording in 1929 although similar studies has been carried out in …,0
Logbook-NeuroTechnology,The electroencephalogram (EEG) is a recording of the electrical activity of the brain. Hans Berger made the first recording in 1929 although similar studies has been carried out in …,0
Closing the regulatory gap for consumer neurotechnology,The combination of big data and advanced machine learning—often referred to as a form of artificial intelligence (AI) or “intelligent systems”—may increase the efficiency and accuracy …,0
Instantiating the progress of neurotechnology for applications in national defense intelligence,This article outlines a series of intersections that highlight the potential for strategic fruitful support of basic neuroscience research to enhance technological design and training for …,0
Recent patents in neurotechnology and neuroengineering,"US 9,449,446 A system employing a plurality of brain/body-generated inputs to control multiaction operation, including a controllable device that performs at least two actions via remote …",0
Neurotechnology for Multiplexed Interrogation of Brain Circuits and Synaptic Activity,This thesis describes the development of neural technologies for 1) multiplexed brain circuit electrophysiology (ephys) recordings and control of activity in optogenetic mice lines with …,0
NeuroFalcon-Neurotechnology for Fast Assessment of Loss-of-CONsciousness,"The aim of the effort was to find neural markers for G LOC detection using EEGs. Data was collected from nine subjects at Brookes AFB. Of these, three subjects experienced G LOC and …",0
Logbook-NeuroTechnology,The electroencephalogram (EEG) is a recording of the electrical activity of the brain. Hans Berger made the first recording in 1929 although similar studies has been carried out in …,0
"Spatial topography of individual-specific cortical networks predicts human cognition, personality, and emotion",Resting-state functional magnetic resonance imaging (rs-fMRI) offers the opportunity to delineate individual-specific brain networks. A major question is whether individual-specific …,370
Spectral characteristics of subthalamic nucleus local field potentials in Parkinson's disease: Phenotype and movement matter,"Parkinson's disease (PD) is clinically heterogeneous across patients and may be classified in three motor phenotypes: tremor dominant (TD), postural instability and gait disorder (PIGD)…",16
Towards mobile gaze-directed beamforming: A novel neuro-technology for hearing loss,"Contemporary hearing aids are markedlylimited in their most important role: improving speech perception in dynamic “cocktail party” environments with multiple, competing talkers. Here …",4
Proceedings of the Medtronic Forum for Neuroscience and Neuro-Technology 2005,Table of contents: Part I: Developments in Neuroscience: Pain and Dystonia.-Clinical Features of Dystonia and European Guidelines for Diagnosis and Treatment.-Complex Regional …,1
NeuroFalcon-Neurotechnology for Fast Assessment of Loss-of-CONsciousness,"The aim of the effort was to find neural markers for G LOC detection using EEGs. Data was collected from nine subjects at Brookes AFB. Of these, three subjects experienced G LOC and …",0
Logbook-NeuroTechnology,The electroencephalogram (EEG) is a recording of the electrical activity of the brain. Hans Berger made the first recording in 1929 although similar studies has been carried out in …,0
Logbook-NeuroTechnology,The electroencephalogram (EEG) is a recording of the electrical activity of the brain. Hans Berger made the first recording in 1929 although similar studies has been carried out in …,0
Neurotechnology to address big questions,"Emotions, cognition, and consciousness emerge with the processing of neuronal information provided by memory readouts and senses. How this actually works seemed for a long time …",0
"Accessibility, Use and Effectiveness of Neurotechnology Devices for Improved Productivity in Workplace.",… One of the new frontiers in science is Neurotechnology. Neurotechnology is a multibillion-dollar … The proliferation and interest in Neurotechnology devices make it no longer feasible to …,0
An Exploration of the Neurotechnology Used Within Occupational Therapy,"Date Presented 4/7/2016 Examined neurotechnology (NT) in neurorehab settings to advance the field’s understanding of the use, effectiveness, and barriers of NT to more efficiently …",0
Neurotechnology for Brain Repair,"Neurotechnology is the application of scientific knowledge to the practical purpose of understanding, interacting and/or repairing the brain or, in a broader sense, the nervous system. …",0
"Advances in Neurotechnology, Electronics and Informatics","… The purpose of the International Congress on Neurotechnology, Electronics and Informatics is to bring together researchers and practitioners in order to exchange ideas and develop …",0
The Neurotechnology of Media Psychology Explained,"In June 2020, I published an article on psychologytoday. com about learning and media psychology. In response to the article, I received many questions about the Neurotechnology of …",0
"Neurotechnology, Electronics, and Informatics: Revised Selected Papers from Neurotechnix 2013","… The purpose of the International Congress on Neurotechnology, Electronics and Informatics is to bring together researchers and practitioners in order to exchange ideas and …",0
Multimodal instrumentation and methods for neurotechnology out of the lab,"In neuroscience and related fields, progress in instrumentation, computational power, and signal processing methods continuously provide novel and increasingly powerful tools toward …",0
"aCenter for Neurorestoration and Neurotechnology, Rehabilitation R & D Service, Department of",Neural interactions between parietal area 2/5 and primary motor cortex (M1) were 25 examined to determine the timing and behavioral correlates of cortico-cortical interactions. 26 …,0
Neurotechnology and moral enhancement,… can also become more kind through neurotechnology. Certain moral characteristics may … neurotechnology for moral enhancement may be more acceptable than using neurotechnology …,0
DUALISM AND MATERIALISM IN THE ERA OF NEUROTECHNOLOGY,"Deep Brain Stimulation is one of the latest, most promising, and most widely discussed therapeutic neurotechnologies. Medically and scientifically speaking, it represents a fascinating …",0
Enhancing the Social Impact of Contemporary Music with Neurotechnology,… to as Music Neurotechnology [1]. Research into Music Neurotechnology is truly interdisciplinary: … demonstrates the social impact of Music Neurotechnology research: the brain-computer …,0
Neurotechnology at the Bernstein Center Freiburg,"Stroke, injuries to the brain, epilepsy, Parkinson’s disease and similar neurological syndromes seriously impair the movement and communication capacity of the patients. In a …",0
"Non‐psychotropic Cannabis sativa L. phytocomplex modulates microglial inflammatory response through CB2 receptors‐, endocannabinoids‐, and NF‐κB‐mediated …","Cannabis sativa L. is increasingly emerging for its protective role in modulating neuroinflammation, a complex process orchestrated among others by microglia, the resident immune …",12
"0363 IN SUBJECTS WITH INSOMNIA, USE OF A CLOSED-LOOP ACOUSTIC STIMULATION NEUROTECHNOLOGY IMPROVES HEART RATE VARIABILITY AND …","Methods: In this IRB-approved study of HIRREM for insomnia, 694 subjects were screened, and 122 with Insomnia Severity Index (ISI) scores of≥ 15 were enrolled and randomized to …",1
0389 USE OF A CLOSED-LOOP ACOUSTIC STIMULATION NEUROTECHNOLOGY IMPROVES SYMPTOMS OF MODERATE TO SEVERE INSOMNIA: RESULTS OF …,Introduction: Chronic insomnia is treated with sleeping pills or cognitive behavioral therapy for insomnia (CBTI). Unrefreshing sleep and frequent nocturnal awakenings also commonly …,1
Neuro-Technology and Augmented Perception,"Science fiction films suggest methods for contextualizing concepts and concerns surrounding new perceptual technologies. Through revisiting two films, I will highlight major themes of …",1
Neurotechnology for Biomimetic Robots,… the forefront of neurotechnology that implements engineering solutions through the application of biological control and transducer principles. This neurotechnology affords the …,0
Machine learning techniques for neurotechnology with applications for healthy users and patients,Advances in Neurotechnology are based on the recording and analysis of brain activity. Brain- Computer Interfaces (BCIs) constitute a very active research area within Neurotechnology…,0
Investments Boost Neurotechnology Career Prospects,"The past few years have seen some extraordinary activity in the neuroscience field. Highrprofile advances, from the Allen Brain Atlas to the Brainbow mouse, have injected an air of …",0
Author Correction: Brain leaks and consumer neurotechnology,"In the version of this article initially published, StarStim8 was misspelled StartSim8 and Flappy Whale was described as using EEG and MEG; it uses only EEG. The legend to Table 1 …",0
Adaptive Neurotechnology for Making Neural Circuits Functional.,Two of the most important trends in recent technological developments are that technology is increasingly integrated with biological systems and that it is increasingly adaptive in its …,0
Neurotechnology of stereoscopic vision,A hypothesis is put forth that the convergence of the projections of an object onto the centers of zones with high spatial resolution of the retinas of the left and right eyes is achieved …,0
Extended Abstract Enhancing the Social Impact of Contemporary Music with Neurotechnology,"… , which I refer to as Music Neurotechnology [1]. Research into Music Neurotechnology is truly … the social impact of Music Neurotechnology research: the braincomputer music interfacing (…",0
Neurotechnology (See Neuroethics),"Advanced techniques and technologies are readily available today to assess, access, and examine the structures and functions of the brain. In 2013 the European Union initiated the …",0
Investments Boost Neurotechnology Career Prospects,,0
Stockholm/Uppsala–Strengthening and Enhancing Its Position as an Emerging Neurotechnology Cluster,… Neurotechnology represents various … neurotechnology industry are enormous. In a recent global ranking Stockholm/Uppsala was considered to be the 10 th leading Neurotechnology …,0
Towards bio-integrating interfaces in organic neurotechnology development,"Penetrating electrodes allow investigators and clinicians direct access to the underlying neural pathway via stimulation and recording. While demonstrating acute reliability, chronic …",0
Multiscale patterning of conducting polymers: applications in neurotechnology,"Micro-and nano-patterning of conducting polymers (CPs) has attracted great interest in organic electronics due to the possibility of controlling the optical, electrical and electrochemical …",0
The role of neuroscience and neurotechnology: decision making in corporate enviroments,"Decision making is a basic cognitive process and a critical skill set that can lead to a transformational change. This research is a study of the neurobiological basis of decision making, …",0
At the Intersection of Neurotechnology and Economics: Social Impact and Ethical Questions,"… Our first aim is to understand how methodological framework of neuroscience and neurotechnology … the integration between economics, cognitive neuroscience and …",0
Neurotechnology adds iris to its portfolio,Global market report predicts $7.1b by 2012 - ScienceDirect Skip to main content Skip to article Elsevier logo Journals & Books RegisterSign in Sign inRegister Journals & Books …,0
EEG Neurotechnology for Human Enhancement and Rehabilitation,"Electroencephalography (EEG)-based neurotechnology not only offers us new alternatives to interact with our environment directly via our brain, but also promises to improve our …",0
Dementia after moderate-severe traumatic brain injury: coexistence of multiple proteinopathies,"We report the clinical, neuroimaging, and neuropathologic characteristics of 2 patients who developed early onset dementia after a moderate-severe traumatic brain injury (TBI). …",76
Preliminary minimum reporting requirements for in-vivo neural interface research: i. implantable neural interfaces,"… in neuroscience, neurotechnology, and neurorehabilitation is … The present lack of such neurotechnology standards limits … range of neuroscience and neurotechnology stakeholders. This …",4
Direct Modulation Index: A measure of phase amplitude coupling for neurophysiology data,Neural communication across different spatial and temporal scales is a topic of great interest in clinical and basic science. Phase‐amplitude coupling (PAC) has attracted particular …,1
Personal Identity and Neurotechnology: Ethics of Modulating Habits,"Does personal identity matter? Consider that some moral quandaries and certain bioethical disputes, depend upon an ontological view of identity. For a hospital opt-out system of organ …",0
Neurotechnology and brain computer interfaces,"Neurophysiological studies on brain function often require to obtain data from many neurons at the same time, and accordingly, several techniques for chronic implantation of …",0
Neuro-law as an interdisciplinary law and the reflections of developments in neurotechnology to the human rights field.,… in the field of neurotechnology require a new concept and … that may arise due to neurotechnology will be discussed. Methods… Conclusion: The implications of neurotechnology in …,0
Mental State Decoding and Applications of Neurotechnology,… Overview of Neurotechnology and Potential Applications … Overview of Neurotechnology and Potential Applications … Part III: Applications of Neurotechnology …,0
Role of Magnetoencephalography in Neurology and Neurotechnology,Magnetoencephalography (MEG) is the detection of magnetic fields produced by the neuronal activity in the cortex [1]. The magnetic field measurable outside the head is produced by …,0
Quantitative Anticipatory Ethical Analysis Should Inform Neurotechnology Development,"Finally, since intractable pre-aDBS pathology can alter agency and personal identity, probably as much as or perhaps even more than aDBS, we believe that when it comes to the …",0
Advances in Neurotechnology for Brain Computer Interfaces,Oscillations abound all domains of nature and deciphering the characteristics of those oscillations is at the heart of most scientific fields of the past and today. The present work will deal …,0
Neurotechnology: brain-computer and brain-machine interfaces,Device interfaces with the brain is one of the most promising areas of research in the diagnosis and treatment of disorders of the nervous system. The ability to monitor brain electrical …,0
"0541 Exploratory Study of Closed-Loop, Artificial Intelligence Driven Neurotechnology Improves Self-Reported Symptoms of Insomnia, Stress, and Anxiety in First …","Introduction First responders (FR) have decreased life expectancy, attributed to work-related exposure to traumatic stress and circadian disruption. In prior studies, High-resolution, …",0
High-throughput Neurotechnology and Quantum Electron Microscopy,,0
Towards a humane neurotechnology: The impact of neuroscience on the human self-image,Science and technology have been prominent factors in the cultural changes that brought humankind from the stone age to the information age. Within those approximately two hundred …,0
"Neurotechnology for monitoring and restoring sensory, motor, and autonomic functions",The rapid and exponential advances in micro- and nanotechnologies over the last decade have enabled devices that communicate directly with the nervous system to measure and …,0
Integrating neurotechnology development: ethics The research into US National,… We have described just some of the issues associated with neurotechnology research and … These efforts will help ensure that neurotechnology research and development rests on a …,0
Minding our zeros and ones: are psychiatrists ready for neurotechnology?,"… One small sip for ""S3"" was one miraculous leap for neurotechnology. According to a recent … unfolding in the emerging field of neurotechnology. Neurotechnology refers to the science of …",0
"… and prudent governance to establish guidelines and policies. CITE THIS ARTICLE Giordano J, Rossi J, Gini A. Pain, Neurotechnology, and the Treatment …","In addressing the responsibility to develop and implement a neuro-ethics of pain care, it has been stated that:“… the nature of the ‘good’of pain care in neurocentric contexts gives rise to …",0
The Contribution of Neurotechnology to the Diagnosis of Language Impairments and the Identification of Language Areas in Individuals with Brain Damage,"Acquired language disorder may be caused by a stroke, traumatic brain injury, a tumor or infections. Depending on the site and size of the lesion, different language levels may be …",0
The Impact of Contemporary Neurotechnology on Diagnosing and Treating Patients with Disorders of Consciousness-A Review,"Disorders of consciousness, especially Vegetative State, are assessed from a theoretical (historical and ethical) and empirical (neuroscientific) points of view, through a review of the …",0
Neurotechnology as demiurgical force: Avoiding Icarus' folly,,40
Self‐organization of “fibro‐axonal” composite tissue around unmodified metallic micro‐electrodes can form a functioning interface with a peripheral nerve: A new …,Introduction A long‐term peripheral neural interface is an area of intense research. The use of electrode interfaces is limited by the biological response to the electrode material. …,8
18 Neurotechnology research and the world stage,"… of human participants in biomedical and specifically neurotechnology research, this chapter will also … Neurotechnology models will be used because they are appropriately analogous to …",1
6 Neurotechnology and Operational Medicine,"… This contribution explores applications of neurotechnology to the issue of adaptively establishing and maintaining situation awareness in different frames of reference, ranging from the …",1
"… and prudent governance to establish guidelines and policies. CITE THIS ARTICLE Giordano J, Rossi J, Gini A. Pain, Neurotechnology, and the Treatment …","In addressing the responsibility to develop and implement a neuro-ethics of pain care, it has been stated that:“… the nature of the ‘good’of pain care in neurocentric contexts gives rise to …",0
The Contribution of Neurotechnology to the Diagnosis of Language Impairments and the Identification of Language Areas in Individuals with Brain Damage,"Acquired language disorder may be caused by a stroke, traumatic brain injury, a tumor or infections. Depending on the site and size of the lesion, different language levels may be …",0
The Impact of Contemporary Neurotechnology on Diagnosing and Treating Patients with Disorders of Consciousness-A Review,"Disorders of consciousness, especially Vegetative State, are assessed from a theoretical (historical and ethical) and empirical (neuroscientific) points of view, through a review of the …",0
Neurotechnology–mediated communication: a new tool for personal rights of patients with disorders of consciousness?,"… impact of neurotechnology on the speechless subjects’ ability to communicate. In particular, I focused on the possible use of neurotechnology to communicate with comatose patients. …",0
"Pain Assessment: Subjectivity, Objectivity, and the Use of Neurotechnology Part One: Practical and Ethical Issues","… pain, we posit that objective tools provided by neurotechnology, whether used alone or in … cannot be wholly ameliorated simply through the use of neurotechnology (1,74). Nor should …",0
The Key Role of Neuroethics in the Regulation and Mitigation of Neurotechnology in National Security and Defense,… neurotechnology and their use in national security and defense should be well understood and evaluated—not only to establish a more rational view of when and how neurotechnology …,0
Neuroscience and Neurotechnology of Neuronal Cell Surface Molecules in Neural Circuits,"A myriad of specialized neurons and glial cells interact with each other in the nervous system. In this Research Topic, we focused on the cell surface molecules, which are essential for …",0
DUALISM AND MATERIALISM IN THE ERA OF NEUROTECHNOLOGY: THE CASE OF DBS GIULIO MECACCI AND PIM HASELAGER,"Deep Brain Stimulation is one of the latest, most promising, and most widely discussed therapeutic neurotechnologies. Medically and scientifically speaking, it represents a fascinating …",0
"Use Of A Non-Invasive Neurotechnology, HIRREM, Is Associated With Improved Sleep And Mood In A Heterogeneous Cohort.(P5. 287)","OBJECTIVE: To evaluate a non-invasive neurotechnology, High-resolution, relational, resonance-based, electroencephalic mirroring (HIRREM), for individuals with insomnia and …",0
The latest innovative study in neurotechnology: A fully implantable-external rechargeable and controlled neuroimplant system.,Objective: one of the main problems for the bioimplants is chargelife of implant. International Neurotechnology Center is working to develop nerve stimulators and charge units. Material …,0
The latest innovative study in neurotechnology: A fully implantable-external rechargeable and controlled neuroimplant system.,Objective: one of the main problems for the bioimplants is the charge life of the implant. International Neurotechnology Center is working to develop nerve stimulators and charge units. …,0
"… , Neuroscience & the Nature of Being: Considerations of Meaning, Morality and Transcendence Part I: The Paradox of Neurotechnology 8 May 2009","… presented the issue of neurotechnology holistically in a form … , though given the inertia of neurotechnology we now have an … in which neuroscience and neurotechnology have, have not, …",0
"Neurotechnology For Biomimetic Robots, edited by Joseph Ayers, Joel L. Davis and Alan Rudolph, MIT Press (Bradford Book), Cambridge, Massachusetts, 2002, xiv+ …","This is a collection of 29 papers stemming from a conference in Nahant, Massachusetts, in May 2000. The main focus is on biomimetic robots, and the emphasis on “neuro” is perhaps …",0
